1000 iteration / 1000 queries BIBLE,Garbage Collection call in sec for 1000 queries,Overall run time in ms for 1000 queries / 1000 iterations,Overall run time in ms for 1000 queries,Overall time 1000 queries without Garbage collection in sec,Time per query averagely in ms,,,
,0.072,2624358,2624,2.118,2.118,,,
,0.069,,,,,,,
,0.14,,,,,,,
,0.117,,,,,,,
,0.068,,,,,,,
,0.019,,,,,,,
,0.004,,,,,,,
,0.002,,,,,,,
,0.003,,,,,,,
,0.002,,,,,,,
,0.002,,,,,,,
,0.003,,,,,,,
,0.002,,,,,,,
,0.003,,,,,,,
Overall,0.506,,,,,,,
,,,,,,,,
1000 iteration / 1000 queries BMS1,,,,,,,,
,0.050,414537,414,0.279,0.279,,,
,0.063,,,,,,,
,0.021,,1 iteration,,,,,
,0.001,,674,,,,,
Overall,0.135,,,,,,,
,,,,,,,,
100 iteration / 1000 queries FIFA,,,,,,,,
,0.0681693,2.0469725751E+07,204697,203.9196139,203.9196139,,,
,0.0940908,,1 iteration,,,,,
,0.2120942,,27761,,,,,
,0.0473723,,10 iteraions,,,,,
,0.0206134,,29718,,,,,
,0.0024321,,,,,,,
,0.0022553,,,,,,,
,0.0028968,,,,,,,
,0.0032966,,,,,,,
,0.003264,,,,,,,
,0.002025,,,,,,,
,0.0018851,,,,,,,
,0.0025812,,,,,,,
,0.0019744,,,,,,,
,0.0022092,,,,,,,
,0.0019487,,,,,,,
,0.0031168,,,,,,,
,0.0025953,,,,,,,
,0.0030044,,,,,,,
,0.0024488,,,,,,,
,0.0028714,,,,,,,
,0.002691,,,,,,,
,0.0033584,,,,,,,
,0.0027023,,,,,,,
,0.0030118,,,,,,,
,0.0026904,,,,,,,
,0.0027723,,,,,,,
,0.0033009,,,,,,,
,0.0033063,,,,,,,
,0.0028028,,,,,,,
,0.0026543,,,,,,,
,0.0020025,,,,,,,
,0.001932,,,,,,,
,0.0025403,,,,,,,
,0.0026609,,,,,,,
,0.0032463,,,,,,,
,0.0031947,,,,,,,
,0.0023883,,,,,,,
,0.0034627,,,,,,,
,0.002009,,,,,,,
,0.0023656,,,,,,,
,0.0025624,,,,,,,
,0.0032952,,,,,,,
,0.0032004,,,,,,,
,0.0028417,,,,,,,
,0.0024214,,,,,,,
,0.0029146,,,,,,,
,0.003168,,,,,,,
,0.0019414,,,,,,,
,0.0019016,,,,,,,
,0.0028869,,,,,,,
,0.0024344,,,,,,,
,0.0026415,,,,,,,
,0.0019703,,,,,,,
,0.0028287,,,,,,,
,0.0029354,,,,,,,
,0.0029229,,,,,,,
,0.0032024,,,,,,,
,0.0030681,,,,,,,
,0.0018835,,,,,,,
,0.0034401,,,,,,,
,0.002528,,,,,,,
,0.0027975,,,,,,,
,0.0024872,,,,,,,
,0.0030977,,,,,,,
,0.0025755,,,,,,,
,0.0023191,,,,,,,
,0.0024387,,,,,,,
,0.0029136,,,,,,,
,0.0030676,,,,,,,
,0.0023658,,,,,,,
,0.0019671,,,,,,,
,0.0033642,,,,,,,
,0.0029625,,,,,,,
,0.0022072,,,,,,,
,0.0024002,,,,,,,
,0.0028664,,,,,,,
,0.0026031,,,,,,,
,0.0021761,,,,,,,
,0.0033578,,,,,,,
,0.003113,,,,,,,
,0.0018028,,,,,,,
,0.0027051,,,,,,,
,0.0025416,,,,,,,
,0.0027068,,,,,,,
,0.0026375,,,,,,,
,0.0027936,,,,,,,
,0.002634,,,,,,,
,0.0027851,,,,,,,
,0.0028014,,,,,,,
,0.002595,,,,,,,
,0.0019221,,,,,,,
,0.0020643,,,,,,,
,0.0023992,,,,,,,
,0.0023053,,,,,,,
,0.0025039,,,,,,,
,0.0025584,,,,,,,
,0.0024268,,,,,,,
,0.0032335,,,,,,,
,0.003142,,,,,,,
,0.0026087,,,,,,,
,0.0027447,,,,,,,
,0.002024,,,,,,,
,0.0031261,,,,,,,
,0.0022438,,,,,,,
,0.0024766,,,,,,,
,0.0028822,,,,,,,
,0.002654,,,,,,,
,0.0022021,,,,,,,
,0.0024146,,,,,,,
,0.0034983,,,,,,,
,0.002928,,,,,,,
,0.0026068,,,,,,,
,0.0026556,,,,,,,
,0.0034489,,,,,,,
,0.0025496,,,,,,,
,0.0028745,,,,,,,
,0.0023611,,,,,,,
,0.0018771,,,,,,,
,0.0025134,,,,,,,
,0.0026903,,,,,,,
,0.0024985,,,,,,,
,0.0022744,,,,,,,
,0.0034148,,,,,,,
,0.0020704,,,,,,,
,0.0030924,,,,,,,
,0.0026091,,,,,,,
,0.0025516,,,,,,,
,0.002888,,,,,,,
,0.0025666,,,,,,,
,0.0031744,,,,,,,
Overall,0.7773861,,,,,,,
,,,,,,,,
1000 iteration / 1000 queries Kosarak,,,,,,,,
,0.073249,2982863,2982,2.3792193,2.3792193,,,
,0.062575,,,,,,,
,0.0881686,,1 iteration,,,,,
,0.0932488,,3083,,,,,
,0.0804802,,,,,,,
,0.0728127,,,,,,,
,0.0658726,,,,,,,
,0.0171917,,,,,,,
,0.0105754,,,,,,,
,0.0044105,,,,,,,
,0.0046943,,,,,,,
,0.0043472,,,,,,,
,0.0054687,,,,,,,
,0.0041537,,,,,,,
,0.0079064,,,,,,,
,0.004343,,,,,,,
,0.0032829,,,,,,,
Overall,0.6027807,,,,,,,
,,,,,,,,
1000 iteration / 1000 queries LEVIATHAN,,,,,,,,
,0.1953,878246,878.2,0.6447283,0.6447283,,,
,0.03373,,,,,,,
,0.001617,,,,,,,
,0.0028247,,,,,,,
Overall,0.2334717,,,,,,,
,,,,,,,,
10 iteration / 1000 queries MSNBC,,,,,,,,
,0.0269857,217820,21782,21.2157735,21.2157735,,,
,0.1549117,,1 iteration,,,,,
,0.0242029,,22117,,,,,
,0.0026087,,,,,,,
,0.003865,,,,,,,
,0.0030189,,,,,,,
,0.0026965,,,,,,,
,0.0018253,,,,,,,
,0.0031438,,,,,,,
,0.0015528,,,,,,,
,0.0018698,,,,,,,
,0.0034972,,,,,,,
,0.0027577,,,,,,,
,0.0022575,,,,,,,
,0.0023318,,,,,,,
,0.0016391,,,,,,,
,0.0021142,,,,,,,
,0.0031458,,,,,,,
,0.0018251,,,,,,,
,0.0042267,,,,,,,
,0.0030232,,,,,,,
,0.0020237,,,,,,,
,0.0025133,,,,,,,
,0.0045057,,,,,,,
,0.0020173,,,,,,,
,0.0018996,,,,,,,
,0.0034896,,,,,,,
,0.0021675,,,,,,,
,0.004861,,,,,,,
,0.0020429,,,,,,,
,0.0026646,,,,,,,
,0.0020027,,,,,,,
,0.0034511,,,,,,,
,0.0034654,,,,,,,
,0.0034224,,,,,,,
,0.0039265,,,,,,,
,0.0034833,,,,,,,
,0.004686,,,,,,,
,0.0016277,,,,,,,
,0.0021512,,,,,,,
,0.0043218,,,,,,,
,0.0035685,,,,,,,
,0.0022731,,,,,,,
,0.002459,,,,,,,
,0.0030265,,,,,,,
,0.0022491,,,,,,,
,0.003442,,,,,,,
,0.001952,,,,,,,
,0.0031412,,,,,,,
,0.0030195,,,,,,,
,0.0035877,,,,,,,
,0.0016074,,,,,,,
,0.0045752,,,,,,,
,0.0025651,,,,,,,
,0.0029478,,,,,,,
,0.0017992,,,,,,,
,0.002062,,,,,,,
,0.0017265,,,,,,,
,0.0027988,,,,,,,
,0.0020858,,,,,,,
,0.0022253,,,,,,,
,0.0023393,,,,,,,
,0.0019231,,,,,,,
,0.0018471,,,,,,,
,0.0037069,,,,,,,
,0.0022453,,,,,,,
,0.0023775,,,,,,,
,0.0017419,,,,,,,
,0.0017373,,,,,,,
,0.0017697,,,,,,,
,0.0021571,,,,,,,
,0.0032244,,,,,,,
,0.0038264,,,,,,,
,0.0015743,,,,,,,
,0.0024564,,,,,,,
,0.0045532,,,,,,,
,0.0028315,,,,,,,
,0.0019271,,,,,,,
,0.0020091,,,,,,,
,0.0041051,,,,,,,
,0.0032616,,,,,,,
,0.0031496,,,,,,,
,0.0015267,,,,,,,
,0.002479,,,,,,,
,0.0021583,,,,,,,
,0.0040856,,,,,,,
,0.0029514,,,,,,,
,0.00245,,,,,,,
,0.0039296,,,,,,,
,0.0034859,,,,,,,
,0.0041031,,,,,,,
,0.0020539,,,,,,,
,0.004187,,,,,,,
,0.0026429,,,,,,,
,0.0029672,,,,,,,
,0.0018601,,,,,,,
,0.0039115,,,,,,,
,0.0044843,,,,,,,
,0.0036699,,,,,,,
,0.0018164,,,,,,,
,0.0029594,,,,,,,
,0.0015139,,,,,,,
,0.003525,,,,,,,
,0.0022493,,,,,,,
,0.002222,,,,,,,
,0.0030397,,,,,,,
,0.0046097,,,,,,,
,0.0032876,,,,,,,
,0.0031925,,,,,,,
,0.0035902,,,,,,,
,0.0027892,,,,,,,
,0.0033988,,,,,,,
,0.003046,,,,,,,
,0.0026039,,,,,,,
,0.001942,,,,,,,
,0.0019659,,,,,,,
,0.004008,,,,,,,
,0.0031805,,,,,,,
,0.0042268,,,,,,,
,0.0030993,,,,,,,
,0.0019941,,,,,,,
,0.0032103,,,,,,,
,0.0023211,,,,,,,
,0.0037591,,,,,,,
,0.0023617,,,,,,,
,0.0033896,,,,,,,
,0.002613,,,,,,,
,0.0018227,,,,,,,
,0.005846,,,,,,,
,0.0015981,,,,,,,
Overall,0.5662265,,,,,,,
,,,,,,,,
1000 iteration / 1000 queries SIGN,,,,,,,,
,0.011,439208,439,0.378,0.378,,,
,0.05,,,,,,,
Overall,0.061,,,,,,,
