Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
593103,13906,6e-06,0.030515,7.19114e-05
21193,13906,7e-06,0.023034,7.19114e-05
413156,13906,4e-06,0.026516,7.19114e-05
626202,13906,6e-06,0.025928,7.19114e-05
301131,13906,7e-06,0.027804,7.19114e-05
187134,13906,5e-06,0.020781,7.19114e-05
218750,13906,4e-06,0.022596,7.19114e-05
32969,13906,4e-06,0.020717,7.19114e-05
24575,13906,4e-06,0.021431,7.19114e-05
31659,13906,4e-06,0.020455,7.19114e-05
669417,13906,4e-06,0.028349,7.19114e-05
179088,13906,6e-06,0.023093,7.19114e-05
90856,13906,5e-06,0.025502,7.19114e-05
166783,13906,4e-06,0.023662,7.19114e-05
227902,13906,4e-06,0.030331,7.19114e-05
615343,13906,6e-06,0.03106,7.19114e-05
756033,13906,6e-06,0.026009,7.19114e-05
624942,13906,6e-06,0.032741,7.19114e-05
230701,13906,6e-06,0.02463,7.19114e-05
378364,13906,7e-06,0.027428,7.19114e-05
1,13906,8e-06,0.029915,7.19114e-05
18207,13906,6e-06,0.030122,7.19114e-05
17,13906,3.5e-05,0.029565,0.00122249
17745,13906,7e-06,0.025389,7.19114e-05
254758,13906,6e-06,0.028578,7.19114e-05
334587,13906,4e-06,0.028279,7.19114e-05
745377,13906,3e-06,0.028694,7.19114e-05
604622,13906,6e-06,0.031903,7.19114e-05
243055,13906,7e-06,0.03157,7.19114e-05
267154,13906,6e-06,0.028518,7.19114e-05
3106,13906,8e-06,0.026432,0.000143823
344246,13906,5e-06,0.024923,7.19114e-05
194425,13906,6e-06,0.026344,7.19114e-05
494985,13906,6e-06,0.026077,7.19114e-05
160644,13906,3e-06,0.024863,7.19114e-05
564697,13906,5e-06,0.023309,7.19114e-05
1,13906,7e-06,0.027008,0.000143823
721299,13906,5e-06,0.034923,7.19114e-05
434898,13906,6e-06,0.032413,7.19114e-05
639974,13906,6e-06,0.027167,7.19114e-05
141214,13906,6e-06,0.027829,7.19114e-05
766374,13906,5e-06,0.034083,7.19114e-05
660885,13906,6e-06,0.026701,7.19114e-05
427695,13906,6e-06,0.028245,7.19114e-05
45353,13906,7e-06,0.027286,7.19114e-05
622142,13906,6e-06,0.026595,7.19114e-05
215683,13906,5e-06,0.023534,7.19114e-05
504249,13906,6e-06,0.029578,7.19114e-05
41282,13906,6e-06,0.027041,7.19114e-05
655330,13906,4e-06,0.03163,7.19114e-05
1,13906,1e-05,0.026282,0.000215734
46063,13906,5e-06,0.027703,7.19114e-05
12239,13906,5e-06,0.022476,7.19114e-05
728244,13906,4e-06,0.021315,7.19114e-05
11,13906,1.9e-05,0.022154,0.000791025
470957,13906,7e-06,0.022908,7.19114e-05
262632,13906,5e-06,0.021355,7.19114e-05
8,13906,1.1e-05,0.020494,0.000575291
273612,13906,3e-06,0.024611,7.19114e-05
36731,13906,5e-06,0.026117,7.19114e-05
153728,13906,7e-06,0.021776,7.19114e-05
145,13906,9.8e-05,0.022212,0.0104272
276,13906,1.1e-05,0.02195,0.000287646
719247,13906,5e-06,0.022522,7.19114e-05
785125,13906,4e-06,0.021755,7.19114e-05
51494,13906,4e-06,0.021683,7.19114e-05
6,13906,1.4e-05,0.026276,0.000431468
303161,13906,6e-06,0.030044,7.19114e-05
1,13906,1.1e-05,0.032689,0.000143823
331636,13906,7e-06,0.030303,7.19114e-05
68,13906,8.5e-05,0.027192,0.00488998
270693,13906,1.5e-05,0.031889,7.19114e-05
619652,13906,5e-06,0.028563,7.19114e-05
365561,13906,5e-06,0.025733,7.19114e-05
505738,13906,7e-06,0.026162,7.19114e-05
297766,13906,6e-06,0.025826,7.19114e-05
265100,13906,5e-06,0.029567,7.19114e-05
220969,13906,5e-06,0.034082,7.19114e-05
181094,13906,6e-06,0.032563,7.19114e-05
593357,13906,6e-06,0.030957,7.19114e-05
1,13906,9e-06,0.03276,0.000287646
619235,13906,5e-06,0.030545,7.19114e-05
73541,13906,6e-06,0.035355,7.19114e-05
692093,13906,6e-06,0.029409,7.19114e-05
160336,13906,6e-06,0.031286,7.19114e-05
155189,13906,6e-06,0.032565,7.19114e-05
1,13906,7e-06,0.032987,0.000143823
11,13906,1.6e-05,0.030399,0.000791025
97706,13906,4e-06,0.02335,7.19114e-05
690462,13906,4e-06,0.023941,7.19114e-05
591695,13906,4e-06,0.021367,7.19114e-05
1,13906,6e-06,0.021764,0.000215734
1,13906,7e-06,0.022058,7.19114e-05
49658,13906,1.1e-05,0.021172,7.19114e-05
1,13906,4e-06,0.023659,0.000143823
271988,13906,4e-06,0.021948,7.19114e-05
82693,13906,3e-06,0.02422,7.19114e-05
631455,13906,7e-06,0.022489,7.19114e-05
280328,13906,6e-06,0.022228,7.19114e-05
87771,13906,3.3e-05,0.022942,7.19114e-05
192958,13906,4e-06,0.021083,7.19114e-05
539997,13906,3e-06,0.020837,7.19114e-05
676419,13906,4e-06,0.021601,7.19114e-05
175349,13906,5e-06,0.022338,7.19114e-05
666492,13906,4e-06,0.022323,7.19114e-05
5,13906,6e-06,0.020386,0.000359557
133,13906,1e-05,0.020926,0.000215734
674834,13906,6e-06,0.021405,7.19114e-05
212,13906,1e-05,0.030764,0.000287646
661053,13906,6e-06,0.02421,7.19114e-05
534305,13906,5e-06,0.030696,7.19114e-05
1,13906,5e-06,0.026501,0.000143823
5,13906,9e-06,0.029918,0.000359557
229835,13906,6e-06,0.030537,7.19114e-05
639686,13906,6e-06,0.026368,7.19114e-05
751180,13906,7e-06,0.032754,7.19114e-05
266684,13906,4e-06,0.031466,7.19114e-05
14,13906,2e-05,0.029184,0.00100676
72,13906,8.4e-05,0.032473,0.00517762
99258,13906,6e-06,0.033651,7.19114e-05
99969,13906,1e-05,0.034537,0.000143823
352690,13906,6e-06,0.034369,7.19114e-05
647921,13906,7e-06,0.031583,7.19114e-05
327655,13906,7e-06,0.025966,7.19114e-05
614847,13906,6e-06,0.029432,7.19114e-05
45,13906,4.8e-05,0.030129,0.00323601
713524,13906,6e-06,0.03158,7.19114e-05
5,13906,1.6e-05,0.025489,0.000359557
571451,13906,6e-06,0.03425,7.19114e-05
995,13906,1.1e-05,0.033532,0.000215734
133714,13906,6e-06,0.026912,7.19114e-05
1,13906,8e-06,0.026639,0.000143823
298943,13906,5e-06,0.02823,7.19114e-05
302649,13906,3e-06,0.020678,7.19114e-05
4052,13906,2.4e-05,0.024029,0.000215734
6,13906,1.9e-05,0.02536,0.000431468
286378,13906,4e-06,0.020769,7.19114e-05
453996,13906,5e-06,0.023472,7.19114e-05
1,13906,8e-06,0.03046,0.000143823
308733,13906,4e-06,0.031249,7.19114e-05
298807,13906,5e-06,0.027614,7.19114e-05
221285,13906,5e-06,0.023414,7.19114e-05
556087,13906,6e-06,0.02683,7.19114e-05
780010,13906,6e-06,0.028431,7.19114e-05
48204,13906,6e-06,0.02725,7.19114e-05
245304,13906,6e-06,0.022636,7.19114e-05
5,13906,1.1e-05,0.026647,0.000359557
171148,13906,7e-06,0.029893,7.19114e-05
1,13906,1.3e-05,0.029801,0.000287646
250868,13906,5e-06,0.026955,7.19114e-05
617642,13906,7e-06,0.029244,7.19114e-05
504994,13906,4e-06,0.030625,7.19114e-05
439701,13906,6e-06,0.031003,7.19114e-05
1,13906,5e-06,0.025924,0.000143823
35367,13906,6e-06,0.031839,7.19114e-05
139774,13906,5e-06,0.022381,7.19114e-05
9,13906,2.2e-05,0.023404,0.000647203
8,13906,1.2e-05,0.023291,0.000575291
45,13906,5.2e-05,0.023106,0.00323601
653310,13906,6e-06,0.023393,7.19114e-05
145500,13906,6e-06,0.026098,7.19114e-05
618140,13906,3e-06,0.027607,7.19114e-05
85920,13906,6e-06,0.023795,7.19114e-05
463083,13906,6e-06,0.025241,7.19114e-05
1,13906,8e-06,0.023496,0.000143823
235274,13906,4e-06,0.028277,7.19114e-05
553188,13906,7e-06,0.030677,7.19114e-05
31,13906,5.1e-05,0.023793,0.00222925
353237,13906,6e-06,0.031597,7.19114e-05
2595,13906,1.9e-05,0.031922,0.000143823
708635,13906,5e-06,0.025455,7.19114e-05
699988,13906,7e-06,0.028672,7.19114e-05
725233,13906,6e-06,0.030874,7.19114e-05
156506,13906,6e-06,0.028096,7.19114e-05
185626,13906,7e-06,0.031959,7.19114e-05
62525,13906,5e-06,0.027892,7.19114e-05
6,13906,2.4e-05,0.028171,0.000431468
620720,13906,6e-06,0.034661,7.19114e-05
144021,13906,5e-06,0.031011,7.19114e-05
1,13906,8e-06,0.033426,0.000143823
758193,13906,6e-06,0.027941,7.19114e-05
2827,13906,5e-06,0.023882,7.19114e-05
568478,13906,5e-06,0.026558,7.19114e-05
161162,13906,3e-06,0.02513,7.19114e-05
209233,13906,5e-06,0.028938,7.19114e-05
578550,13906,5e-06,0.023737,7.19114e-05
458504,13906,5e-06,0.022838,7.19114e-05
471978,13906,3e-06,0.029603,7.19114e-05
721479,13906,6e-06,0.024787,7.19114e-05
560560,13906,6e-06,0.022758,7.19114e-05
316545,13906,6e-06,0.023449,7.19114e-05
268639,13906,5e-06,0.022222,7.19114e-05
254,13906,5e-06,0.020358,0.000143823
147758,13906,4e-06,0.024395,7.19114e-05
12,13906,2.8e-05,0.019813,0.000862937
13,13906,1.1e-05,0.02436,0.000934848
12,13906,1.1e-05,0.021164,0.000862937
304236,13906,5e-06,0.025269,7.19114e-05
155570,13906,5e-06,0.020213,7.19114e-05
460321,13906,4e-06,0.020459,7.19114e-05
-17242,13906,4e-06,0.027951,7.19114e-05
493703,13906,4e-06,0.020777,7.19114e-05
319729,13906,5e-06,0.022592,7.19114e-05
93279,13906,6e-06,0.026445,7.19114e-05
774090,13906,6e-06,0.0248,7.19114e-05
450,13906,2.2e-05,0.026105,0.000215734
212634,13906,5e-06,0.030885,7.19114e-05
119815,13906,4e-06,0.025331,7.19114e-05
399984,13906,6e-06,0.029477,7.19114e-05
6,13906,1e-05,0.026135,0.000431468
390029,13906,6e-06,0.030753,7.19114e-05
534708,13906,6e-06,0.03175,7.19114e-05
102478,13906,6e-06,0.029392,7.19114e-05
600675,13906,5e-06,0.030965,7.19114e-05
107,13906,0.000136,0.029012,0.00769452
2925,13906,1e-05,0.034875,0.000215734
743162,13906,6e-06,0.036113,7.19114e-05
218223,13906,5e-06,0.028396,7.19114e-05
18370,13906,4e-06,0.026505,7.19114e-05
464244,13906,6e-06,0.023614,7.19114e-05
577037,13906,6e-06,0.021285,7.19114e-05
568778,13906,6e-06,0.025642,7.19114e-05
636588,13906,5e-06,0.021874,7.19114e-05
774544,13906,3e-06,0.024025,7.19114e-05
298443,13906,5e-06,0.020149,7.19114e-05
293236,13906,4e-06,0.022369,7.19114e-05
774647,13906,6e-06,0.028384,7.19114e-05
768275,13906,4e-06,0.024378,7.19114e-05
441391,13906,9e-06,0.022228,7.19114e-05
