Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1,498,5e-06,0.001293,0.00200803
80157,498,4e-06,0.001068,0.00200803
93620,498,4e-06,0.000808,0.00200803
92342,498,2e-06,0.001218,0.00200803
80440,498,5e-06,0.001241,0.00200803
91404,498,5e-06,0.001251,0.00200803
77124,498,5e-06,0.001223,0.00200803
1,498,6e-06,0.001216,0.0060241
1,498,7e-06,0.001323,0.00200803
71,498,8.6e-05,0.001364,0.14257
6,498,1.2e-05,0.001325,0.0120482
26,498,2.8e-05,0.001254,0.0522088
67,498,7.4e-05,0.001302,0.134538
29745,498,5e-06,0.001276,0.00200803
63104,498,4e-06,0.001399,0.00200803
108,498,9.8e-05,0.001266,0.216867
89148,498,5e-06,0.000848,0.00200803
94747,498,4e-06,0.001129,0.00200803
50037,498,3e-06,0.001051,0.00200803
81381,498,1e-05,0.000825,0.0060241
5,498,8e-06,0.000939,0.0100402
80002,498,4e-06,0.000884,0.00200803
5,498,9e-06,0.001282,0.0100402
1,498,6e-06,0.001228,0.0060241
5,498,9e-06,0.001234,0.00803213
1,498,6e-06,0.001244,0.00401606
21,498,7e-06,0.000741,0.0060241
46868,498,5e-06,0.000857,0.00200803
74873,498,3e-06,0.000821,0.00200803
90661,498,3e-06,0.000879,0.00200803
85356,498,4e-06,0.001265,0.00200803
87289,498,8e-06,0.00124,0.00401606
96584,498,4e-06,0.001241,0.00200803
24,498,2.3e-05,0.001238,0.0481928
31669,498,5e-06,0.001204,0.00200803
86556,498,4e-06,0.001129,0.00200803
82174,498,5e-06,0.001078,0.00200803
98648,498,4e-06,0.001128,0.00200803
61379,498,4e-06,0.001143,0.00200803
23,498,3.3e-05,0.000849,0.0461847
94539,498,3e-06,0.000964,0.00200803
51471,498,4e-06,0.001195,0.00200803
60027,498,4e-06,0.001074,0.00200803
53,498,3e-06,0.000676,0.00401606
1,498,5e-06,0.0007,0.00401606
27,498,3.2e-05,0.000677,0.0542169
90545,498,2e-06,0.000918,0.00200803
30796,498,5e-06,0.000794,0.00200803
1,498,7e-06,0.000946,0.00803213
20352,498,4e-06,0.001198,0.00200803
12029,498,4e-06,0.001224,0.00200803
217,498,7e-06,0.000966,0.00401606
92081,498,4e-06,0.001046,0.00200803
67761,498,5e-06,0.000785,0.00200803
67966,498,5e-06,0.00075,0.00200803
76380,498,4e-06,0.000835,0.00200803
1,498,9e-06,0.001213,0.00803213
10664,498,4e-06,0.001043,0.00200803
14,498,1.9e-05,0.000801,0.0281124
30026,498,2e-06,0.000941,0.00200803
86529,498,3e-06,0.000985,0.00200803
63670,498,4e-06,0.000994,0.00200803
98633,498,4e-06,0.001342,0.00200803
87105,498,8e-06,0.00129,0.00401606
60684,498,5e-06,0.001175,0.00200803
5,498,5e-06,0.000958,0.00401606
6,498,8e-06,0.000883,0.0120482
84633,498,4e-06,0.00081,0.00200803
53,498,3e-06,0.000782,0.00401606
21,498,5e-06,0.00076,0.0060241
82187,498,3e-06,0.000691,0.00200803
49760,498,3e-06,0.000722,0.00200803
5,498,4e-06,0.000671,0.0100402
50083,498,3e-06,0.000685,0.00200803
48969,498,3e-06,0.000955,0.00200803
44120,498,5e-06,0.001224,0.00200803
69641,498,4e-06,0.001076,0.00200803
48996,498,1e-06,0.000755,0.00200803
87145,498,4e-06,0.000727,0.00401606
38778,498,2e-06,0.00072,0.00200803
101505,498,2e-06,0.000747,0.00200803
28,498,3.4e-05,0.000693,0.0562249
78538,498,3e-06,0.000751,0.00200803
20594,498,3e-06,0.000707,0.00200803
9,498,2e-06,0.000747,0.00401606
81837,498,3e-06,0.000689,0.00200803
70132,498,2e-06,0.00081,0.00200803
95513,498,4e-06,0.000952,0.00200803
95798,498,4e-06,0.001176,0.00200803
1,498,7e-06,0.000853,0.00803213
8613,498,4e-06,0.000684,0.00200803
1,498,5e-06,0.0007,0.00803213
8826,498,3e-06,0.000715,0.00200803
35,498,3.1e-05,0.000703,0.0702811
94147,498,4e-06,0.000734,0.00200803
14058,498,4e-06,0.000775,0.00200803
6353,498,4e-06,0.000677,0.00401606
72173,498,2e-06,0.000796,0.00200803
19,498,1.8e-05,0.000845,0.0381526
5,498,9e-06,0.000876,0.0100402
11382,498,4e-06,0.001201,0.00200803
55966,498,4e-06,0.000882,0.00200803
46,498,3.2e-05,0.000706,0.0923695
92212,498,3e-06,0.00072,0.00200803
89494,498,2e-06,0.000704,0.00200803
-3088,498,1.1e-05,0.000678,0.00200803
80,498,6.6e-05,0.000685,0.160643
60883,498,1.2e-05,0.000689,0.00200803
88746,498,3e-06,0.000705,0.00200803
64787,498,6e-06,0.000715,0.00401606
86873,498,1e-06,0.00069,0.00200803
95836,498,2e-06,0.000956,0.00200803
47706,498,2e-06,0.000868,0.00200803
17,498,5e-06,0.00074,0.00401606
92157,498,3e-06,0.00077,0.00200803
26,498,1.7e-05,0.000712,0.0522088
85,498,6.3e-05,0.000716,0.170683
67852,498,4e-06,0.000879,0.00200803
73285,498,2e-06,0.000745,0.00200803
21,498,1.8e-05,0.000727,0.0421687
37,498,2e-05,0.000707,0.0742972
96023,498,2e-06,0.000726,0.00200803
100393,498,3e-06,0.000746,0.00200803
76,498,4.2e-05,0.000721,0.15261
60353,498,1e-06,0.000892,0.00200803
71717,498,5e-06,0.001116,0.00200803
11,498,2e-05,0.000753,0.0220884
85099,498,4e-06,0.000753,0.00200803
49057,498,4e-06,0.000779,0.00200803
-7992,498,5e-06,0.001087,0.00200803
1,498,8e-06,0.000875,0.00803213
19941,498,4e-06,0.000721,0.00200803
34,498,2.1e-05,0.001135,0.0682731
83215,498,3e-06,0.000979,0.00200803
72947,498,4e-06,0.001223,0.00200803
10044,498,5e-06,0.001101,0.00200803
9104,498,4e-06,0.001167,0.00200803
84428,498,4e-06,0.001113,0.00200803
-54382,498,4e-06,0.001091,0.00200803
47135,498,3e-06,0.00117,0.00200803
49,498,6.4e-05,0.00108,0.0983936
7,498,1.1e-05,0.001055,0.0140562
17758,498,3e-06,0.00115,0.00200803
76024,498,3e-06,0.000921,0.00200803
81213,498,8e-06,0.00091,0.00401606
-1115,498,4e-06,0.000808,0.00200803
1,498,7e-06,0.001262,0.00401606
49317,498,5e-06,0.001248,0.00200803
74457,498,4e-06,0.001305,0.00200803
49609,498,4e-06,0.001348,0.00200803
44589,498,5e-06,0.001336,0.00200803
89658,498,5e-06,0.00135,0.00200803
93805,498,5e-06,0.001307,0.00200803
25,498,1.6e-05,0.001122,0.0502008
57,498,7e-06,0.001181,0.00401606
27,498,2.8e-05,0.001177,0.0542169
18,498,2.5e-05,0.001145,0.0361446
7,498,1e-05,0.001212,0.0140562
93050,498,4e-06,0.001198,0.00200803
83806,498,4e-06,0.000951,0.00200803
93847,498,4e-06,0.001069,0.00200803
95047,498,1e-06,0.001138,0.00200803
