Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
725396,2991,5e-06,0.005486,0.000334336
49,2991,6e-06,0.007218,0.000668673
430583,2991,5e-06,0.005962,0.000334336
13,2991,1.9e-05,0.00533,0.00434637
237,2991,9e-06,0.005099,0.000668673
83982,2991,4e-06,0.00392,0.000334336
218858,2991,3e-06,0.004591,0.000334336
86605,2991,4e-06,0.003887,0.000334336
28346,2991,3e-06,0.003851,0.000334336
521498,2991,5e-06,0.0051,0.000334336
10464,2991,5e-06,0.004469,0.000334336
311812,2991,6e-06,0.005713,0.000334336
732943,2991,7e-06,0.004721,0.000334336
452101,2991,5e-06,0.004543,0.000334336
353823,2991,4e-06,0.004595,0.000334336
243637,2991,5e-06,0.004109,0.000334336
218183,2991,3e-06,0.004013,0.000334336
558022,2991,4e-06,0.004407,0.000334336
629270,2991,4e-06,0.0042,0.000334336
701699,2991,3e-06,0.00444,0.000334336
72841,2991,4e-06,0.00509,0.000334336
7247,2991,6e-06,0.003632,0.000334336
25,2991,2.8e-05,0.004322,0.00835841
142,2991,9.7e-05,0.004832,0.0474758
1,2991,8e-06,0.004898,0.000334336
127332,2991,5e-06,0.004603,0.000334336
214211,2991,3e-06,0.006327,0.000334336
1512,2991,7e-06,0.007035,0.000668673
1,2991,5e-06,0.005523,0.000668673
581742,2991,6e-06,0.007116,0.000334336
599688,2991,5e-06,0.007454,0.000334336
718242,2991,6e-06,0.006849,0.000334336
199080,2991,6e-06,0.00721,0.000334336
355949,2991,6e-06,0.007348,0.000334336
28,2991,3.3e-05,0.007207,0.00936142
18400,2991,6e-06,0.005944,0.000334336
11,2991,1.7e-05,0.007153,0.0036777
357857,2991,5e-06,0.007289,0.000334336
79082,2991,5e-06,0.006924,0.000334336
702146,2991,5e-06,0.007721,0.000334336
537578,2991,5e-06,0.007365,0.000334336
291101,2991,6e-06,0.007125,0.000334336
112195,2991,5e-06,0.006113,0.000334336
18,2991,2.5e-05,0.005898,0.00601805
538256,2991,7e-06,0.007154,0.000334336
584875,2991,5e-06,0.006978,0.000334336
14,2991,2e-05,0.006456,0.00468071
243357,2991,5e-06,0.007247,0.000334336
12,2991,2.2e-05,0.007051,0.00401204
361043,2991,6e-06,0.007231,0.000334336
573374,2991,6e-06,0.006839,0.000334336
17,2991,2.4e-05,0.00414,0.00568372
8,2991,1.2e-05,0.004727,0.00267469
435254,2991,6e-06,0.007327,0.000334336
73,2991,7.9e-05,0.00491,0.0244066
605452,2991,5e-06,0.006517,0.000334336
251548,2991,5e-06,0.00716,0.000334336
147156,2991,6e-06,0.007369,0.000334336
225,2991,0.000216,0.006744,0.0752257
4434,2991,0.003942,0.006726,1.48245
668611,2991,6e-06,0.005712,0.000334336
152321,2991,5e-06,0.00652,0.000334336
114866,2991,5e-06,0.00669,0.000334336
115204,2991,5e-06,0.00697,0.000334336
614987,2991,5e-06,0.005837,0.000334336
25,2991,9e-06,0.005538,0.00100301
609115,2991,4e-06,0.006365,0.000334336
250403,2991,6e-06,0.006549,0.000334336
214544,2991,5e-06,0.00717,0.000334336
272300,2991,6e-06,0.007181,0.000334336
22651,2991,5e-06,0.006685,0.000334336
4220,2991,5e-06,0.006084,0.000334336
325065,2991,6e-06,0.007388,0.000334336
11,2991,2e-05,0.007425,0.0036777
405966,2991,6e-06,0.007371,0.000334336
723464,2991,5e-06,0.007749,0.000334336
287121,2991,5e-06,0.006914,0.000334336
689767,2991,4e-06,0.006834,0.000334336
481865,2991,6e-06,0.006874,0.000334336
613626,2991,5e-06,0.005554,0.000334336
21785,2991,6e-06,0.006442,0.000334336
319492,2991,6e-06,0.007397,0.000334336
9,2991,1.6e-05,0.005238,0.00300903
255547,2991,4e-06,0.004512,0.000334336
11,2991,1.2e-05,0.005511,0.0036777
21,2991,1.8e-05,0.00688,0.00702106
17,2991,3.4e-05,0.006071,0.00568372
14583,2991,5e-06,0.004156,0.000334336
5,2991,6e-06,0.004853,0.00167168
614479,2991,5e-06,0.006936,0.000334336
19043,2991,4e-06,0.005044,0.000334336
398392,2991,5e-06,0.007101,0.000334336
344571,2991,6e-06,0.005923,0.000334336
15,2991,3.1e-05,0.005248,0.00501505
