Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
440201,21145,7e-06,0.035414,4.72925e-05
427319,21145,3e-06,0.031289,4.72925e-05
225639,21145,4e-06,0.034698,4.72925e-05
305131,21145,5e-06,0.034426,4.72925e-05
187010,21145,5e-06,0.038814,4.72925e-05
257337,21145,6e-06,0.034612,4.72925e-05
548321,21145,7e-06,0.03388,4.72925e-05
150745,21145,7e-06,0.038233,4.72925e-05
248428,21145,6e-06,0.033127,4.72925e-05
428307,21145,2e-06,0.032422,4.72925e-05
502996,21145,5e-06,0.031641,4.72925e-05
5,21145,4e-06,0.03404,0.000236463
337196,21145,6e-06,0.034625,4.72925e-05
1100,21145,6e-06,0.03534,9.4585e-05
281686,21145,5e-06,0.042377,4.72925e-05
528327,21145,6e-06,0.038728,4.72925e-05
254557,21145,7e-06,0.044378,4.72925e-05
436233,21145,5e-06,0.041334,4.72925e-05
191222,21145,6e-06,0.050069,4.72925e-05
163624,21145,6e-06,0.046807,4.72925e-05
506734,21145,2e-06,0.042379,4.72925e-05
444585,21145,5e-06,0.048286,4.72925e-05
176367,21145,6e-06,0.044515,4.72925e-05
33529,21145,6e-06,0.041334,4.72925e-05
478904,21145,4e-06,0.036884,4.72925e-05
31959,21145,4e-06,0.033351,4.72925e-05
290146,21145,5e-06,0.031121,4.72925e-05
15910,21145,4e-06,0.033831,4.72925e-05
372003,21145,4e-06,0.031595,4.72925e-05
280089,21145,5e-06,0.035714,4.72925e-05
155553,21145,4e-06,0.031197,4.72925e-05
247692,21145,4e-06,0.035224,4.72925e-05
1,21145,6e-06,0.031365,0.00018917
32,21145,2.6e-05,0.034733,0.00151336
399786,21145,4e-06,0.039626,4.72925e-05
372581,21145,6e-06,0.043031,4.72925e-05
530229,21145,6e-06,0.047042,4.72925e-05
538103,21145,5e-06,0.040594,4.72925e-05
365360,21145,7e-06,0.039549,4.72925e-05
107,21145,9.1e-05,0.047699,0.0050603
474089,21145,5e-06,0.036482,4.72925e-05
368914,21145,7e-06,0.039472,4.72925e-05
465065,21145,5e-06,0.040782,4.72925e-05
165356,21145,5e-06,0.041368,4.72925e-05
412983,21145,7e-06,0.038773,4.72925e-05
131577,21145,6e-06,0.0358,4.72925e-05
179937,21145,5e-06,0.039299,4.72925e-05
333883,21145,4e-06,0.039776,4.72925e-05
239888,21145,6e-06,0.033845,4.72925e-05
461128,21145,1.8e-05,0.039651,4.72925e-05
44,21145,1.2e-05,0.046529,0.00018917
388936,21145,3e-06,0.041515,4.72925e-05
509612,21145,6e-06,0.051105,4.72925e-05
355256,21145,5e-06,0.044197,4.72925e-05
112,21145,0.000201,0.050099,0.00529676
288903,21145,7e-06,0.046471,4.72925e-05
483548,21145,5e-06,0.04403,4.72925e-05
306126,21145,6e-06,0.050522,4.72925e-05
191500,21145,7e-06,0.052035,4.72925e-05
250337,21145,7e-06,0.043172,4.72925e-05
237877,21145,6e-06,0.04808,4.72925e-05
355133,21145,4e-06,0.0489,4.72925e-05
259694,21145,6e-06,0.053162,4.72925e-05
273746,21145,6e-06,0.051912,4.72925e-05
1,21145,7e-06,0.045579,4.72925e-05
274431,21145,4e-06,0.041285,4.72925e-05
490118,21145,1.2e-05,0.03931,4.72925e-05
198059,21145,5e-06,0.033371,4.72925e-05
459372,21145,3e-06,0.032086,4.72925e-05
513702,21145,3e-06,0.036521,4.72925e-05
325072,21145,4e-06,0.032785,4.72925e-05
323503,21145,4e-06,0.032664,4.72925e-05
383316,21145,4e-06,0.038061,4.72925e-05
1,21145,4e-06,0.031068,9.4585e-05
441666,21145,5e-06,0.034898,4.72925e-05
205013,21145,3e-06,0.036105,4.72925e-05
364888,21145,5e-06,0.039855,4.72925e-05
267595,21145,5e-06,0.036346,4.72925e-05
492899,21145,6e-06,0.046673,4.72925e-05
185704,21145,6e-06,0.042824,4.72925e-05
519103,21145,6e-06,0.036631,4.72925e-05
249504,21145,6e-06,0.042246,4.72925e-05
448716,21145,7e-06,0.043246,4.72925e-05
170173,21145,6e-06,0.042166,4.72925e-05
158301,21145,5e-06,0.049706,4.72925e-05
295932,21145,5e-06,0.048252,4.72925e-05
38483,21145,5e-06,0.048102,4.72925e-05
509516,21145,6e-06,0.047356,4.72925e-05
462036,21145,5e-06,0.044646,4.72925e-05
458520,21145,5e-06,0.041922,4.72925e-05
472224,21145,5e-06,0.038365,4.72925e-05
219999,21145,5e-06,0.040286,4.72925e-05
374653,21145,6e-06,0.041101,4.72925e-05
34107,21145,1.3e-05,0.03447,4.72925e-05
223502,21145,4e-06,0.037996,4.72925e-05
363438,21145,6e-06,0.034023,4.72925e-05
56,21145,3.5e-05,0.033347,0.00264838
548611,21145,4e-06,0.038552,4.72925e-05
223668,21145,5e-06,0.033135,4.72925e-05
16,21145,3.2e-05,0.034315,0.00075668
