Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
86712,9026,4e-06,0.017903,0.000110791
163490,9026,4e-06,0.013253,0.000110791
2,9026,8e-06,0.018536,0.000221582
183982,9026,5e-06,0.013715,0.000110791
13055,9026,4e-06,0.012252,0.000110791
43134,9026,4e-06,0.012548,0.000110791
148195,9026,5e-06,0.012823,0.000110791
162616,9026,4e-06,0.013202,0.000110791
148509,9026,4e-06,0.012951,0.000110791
71149,9026,4e-06,0.014932,0.000110791
1,9026,6e-06,0.01354,0.000221582
89006,9026,4e-06,0.01654,0.000110791
193714,9026,8e-06,0.017962,0.000110791
135644,9026,5e-06,0.016101,0.000110791
171379,9026,6e-06,0.01351,0.000110791
184398,9026,6e-06,0.012832,0.000110791
192975,9026,3e-06,0.012741,0.000110791
127589,9026,4e-06,0.013087,0.000110791
186281,9026,4e-06,0.015645,0.000110791
163513,9026,1.2e-05,0.014611,0.000110791
19092,9026,4e-06,0.013008,0.000110791
5445,9026,5e-06,0.014736,0.000110791
91389,9026,6e-06,0.014782,0.000110791
194368,9026,4e-06,0.013352,0.000110791
170885,9026,1.5e-05,0.016895,0.000110791
152097,9026,5e-06,0.013552,0.000110791
124764,9026,6e-06,0.01448,0.000110791
30857,9026,7e-06,0.015361,0.000110791
99878,9026,8e-06,0.015384,0.000332373
91356,9026,9e-06,0.016784,0.000110791
132628,9026,3e-06,0.012805,0.000110791
146424,9026,4e-06,0.01386,0.000110791
136526,9026,4e-06,0.013068,0.000110791
134424,9026,4e-06,0.013719,0.000110791
50260,9026,5e-06,0.014198,0.000110791
45895,9026,6e-06,0.018016,0.000110791
127022,9026,4e-06,0.015874,0.000110791
154484,9026,4e-06,0.016477,0.000110791
144843,9026,9e-06,0.0146,0.000110791
117333,9026,5e-06,0.013437,0.000110791
123739,9026,6e-06,0.013511,0.000110791
39348,9026,4e-06,0.013523,0.000110791
32595,9026,5e-06,0.013391,0.000110791
105323,9026,5e-06,0.013037,0.000110791
166110,9026,3e-06,0.012929,0.000110791
15410,9026,5e-06,0.014669,0.000110791
78865,9026,5e-06,0.013661,0.000110791
6482,9026,4e-06,0.014261,0.000110791
5812,9026,1.3e-05,0.013231,0.000110791
57063,9026,5e-06,0.013487,0.000110791
143933,9026,5e-06,0.017206,0.000110791
194326,9026,3e-06,0.013413,0.000110791
79112,9026,4e-06,0.012701,0.000110791
177027,9026,3e-06,0.015499,0.000110791
66026,9026,8e-06,0.016741,0.000110791
39450,9026,4e-06,0.012632,0.000110791
86807,9026,4e-06,0.015248,0.000110791
81083,9026,8e-06,0.015211,0.000110791
113945,9026,4e-06,0.013799,0.000110791
27245,9026,5e-06,0.02004,0.000110791
196755,9026,3e-06,0.017299,0.000110791
182853,9026,7e-06,0.018992,0.000110791
192772,9026,6e-06,0.021619,0.000110791
60738,9026,6e-06,0.017145,0.000110791
39773,9026,5e-06,0.016527,0.000110791
56233,9026,6e-06,0.018137,0.000110791
33344,9026,5e-06,0.016131,0.000110791
156027,9026,4e-06,0.01528,0.000110791
4769,9026,8e-06,0.017187,0.000221582
3962,9026,6e-06,0.01795,0.000221582
49903,9026,6e-06,0.017759,0.000110791
55915,9026,6e-06,0.014797,0.000110791
45722,9026,4e-06,0.015464,0.000110791
164714,9026,6e-06,0.017747,0.000110791
175593,9026,5e-06,0.018553,0.000110791
158669,9026,4e-06,0.014822,0.000110791
100614,9026,4e-06,0.014963,0.000110791
80747,9026,5e-06,0.015244,0.000110791
18236,9026,6e-06,0.017482,0.000110791
179136,9026,4e-06,0.016403,0.000110791
47097,9026,5e-06,0.021025,0.000110791
195683,9026,6e-06,0.018442,0.000110791
7317,9026,5e-06,0.013417,0.000110791
152866,9026,5e-06,0.017394,0.000110791
-78997,9026,4e-06,0.016123,0.000110791
126362,9026,6e-06,0.017154,0.000110791
41798,9026,5e-06,0.017625,0.000110791
127804,9026,4e-06,0.016163,0.000110791
108087,9026,6e-06,0.016091,0.000110791
103752,9026,6e-06,0.017403,0.000110791
101999,9026,6e-06,0.017927,0.000110791
6424,9026,5e-06,0.013418,0.000110791
80786,9026,3e-06,0.01686,0.000110791
163027,9026,3e-06,0.014539,0.000110791
85877,9026,3e-06,0.015946,0.000110791
33214,9026,6e-06,0.019463,0.000110791
57541,9026,7e-06,0.01568,0.000110791
49971,9026,6e-06,0.016529,0.000110791
151874,9026,3e-06,0.015148,0.000110791
159458,9026,5e-06,0.018298,0.000110791
1,9026,7e-06,0.018669,0.000221582
152166,9026,6e-06,0.015409,0.000110791
129012,9026,5e-06,0.016096,0.000110791
1158,9026,1e-05,0.016874,0.000332373
8,9026,1.9e-05,0.017882,0.000886328
2265,9026,6e-06,0.016619,0.000221582
144079,9026,5e-06,0.015225,0.000110791
118063,9026,3e-06,0.019378,0.000110791
165331,9026,5e-06,0.019682,0.000110791
50686,9026,5e-06,0.018871,0.000110791
186560,9026,6e-06,0.01894,0.000110791
153071,9026,5e-06,0.014604,0.000110791
67894,9026,4e-06,0.014234,0.000110791
84606,9026,5e-06,0.020477,0.000110791
65072,9026,6e-06,0.017289,0.000110791
65933,9026,5e-06,0.015066,0.000110791
179360,9026,5e-06,0.017487,0.000110791
182906,9026,5e-06,0.020251,0.000110791
124379,9026,6e-06,0.021679,0.000110791
179939,9026,5e-06,0.021024,0.000110791
74217,9026,4e-06,0.015878,0.000110791
28735,9026,5e-06,0.014622,0.000110791
87898,9026,5e-06,0.015598,0.000110791
166587,9026,5e-06,0.014509,0.000110791
12343,9026,6e-06,0.014696,0.000110791
52203,9026,6e-06,0.015842,0.000110791
80853,9026,6e-06,0.015691,0.000110791
58608,9026,5e-06,0.018389,0.000110791
179894,9026,4e-06,0.016891,0.000110791
120193,9026,6e-06,0.019676,0.000110791
45373,9026,5e-06,0.01898,0.000110791
188318,9026,5e-06,0.015029,0.000110791
195814,9026,3e-06,0.015501,0.000110791
61211,9026,6e-06,0.02184,0.000110791
163184,9026,6e-06,0.014946,0.000110791
118445,9026,6e-06,0.016093,0.000110791
57101,9026,4e-06,0.019076,0.000110791
71682,9026,6e-06,0.017267,0.000110791
97571,9026,7e-06,0.017084,0.000110791
14787,9026,6e-06,0.016866,0.000110791
136821,9026,6e-06,0.016889,0.000110791
151990,9026,4e-06,0.015652,0.000110791
43714,9026,4e-06,0.019393,0.000110791
8,9026,1.8e-05,0.018371,0.000886328
51717,9026,6e-06,0.015224,0.000110791
141998,9026,5e-06,0.019209,0.000110791
9264,9026,5e-06,0.015937,0.000110791
66877,9026,6e-06,0.020563,0.000110791
67216,9026,4e-06,0.016793,0.000110791
45389,9026,3e-06,0.013417,0.000110791
150500,9026,6e-06,0.016321,0.000110791
13957,9026,1.3e-05,0.012736,0.000110791
31518,9026,5e-06,0.015641,0.000110791
105350,9026,5e-06,0.01402,0.000110791
81337,9026,4e-06,0.014529,0.000110791
70747,9026,6e-06,0.013585,0.000110791
176786,9026,6e-06,0.017047,0.000110791
57741,9026,5e-06,0.013717,0.000110791
122519,9026,4e-06,0.013383,0.000110791
101932,9026,5e-06,0.017985,0.000110791
179554,9026,4e-06,0.012951,0.000110791
164251,9026,4e-06,0.013257,0.000110791
157785,9026,8e-06,0.018223,0.000110791
3068,9026,4e-06,0.012122,0.000110791
26955,9026,5e-06,0.013554,0.000110791
157259,9026,3e-06,0.014208,0.000110791
155666,9026,8e-06,0.019172,0.000110791
182934,9026,3e-06,0.019522,0.000110791
68191,9026,6e-06,0.018046,0.000110791
173247,9026,6e-06,0.019397,0.000110791
146561,9026,5e-06,0.015564,0.000110791
124224,9026,6e-06,0.022469,0.000110791
178702,9026,5e-06,0.021305,0.000110791
57424,9026,6e-06,0.024189,0.000110791
77996,9026,5e-06,0.015673,0.000110791
32559,9026,6e-06,0.019075,0.000110791
53578,9026,4e-06,0.013879,0.000110791
195927,9026,5e-06,0.014624,0.000110791
1,9026,9e-06,0.016147,0.000221582
69753,9026,3e-06,0.014518,0.000110791
34960,9026,4e-06,0.01668,0.000110791
79346,9026,6e-06,0.021471,0.000110791
11626,9026,5e-06,0.019212,0.000110791
73994,9026,6e-06,0.019713,0.000110791
97483,9026,5e-06,0.017363,0.000110791
92208,9026,5e-06,0.018973,0.000110791
52527,9026,5e-06,0.016499,0.000110791
7441,9026,4e-06,0.014145,0.000110791
144420,9026,5e-06,0.019443,0.000110791
42431,9026,5e-06,0.018731,0.000110791
1,9026,6e-06,0.015333,0.000221582
173244,9026,6e-06,0.017342,0.000110791
25648,9026,5e-06,0.016322,0.000110791
55223,9026,4e-06,0.015065,0.000110791
16981,9026,5e-06,0.019145,0.000110791
979,9026,0.000863,0.010574,0.108464
73304,9026,6e-06,0.018781,0.000110791
97466,9026,1.3e-05,0.016672,0.000110791
100727,9026,4e-06,0.014579,0.000110791
134785,9026,1.6e-05,0.015483,0.000110791
131297,9026,3e-06,0.018039,0.000110791
126534,9026,5e-06,0.015657,0.000110791
104799,9026,6e-06,0.018954,0.000110791
41621,9026,6e-06,0.015477,0.000110791
147795,9026,1.5e-05,0.01921,0.000110791
94906,9026,5e-06,0.015681,0.000110791
17578,9026,3e-06,0.013552,0.000110791
93357,9026,5e-06,0.019071,0.000110791
61752,9026,6e-06,0.01933,0.000110791
103948,9026,4e-06,0.0171,0.000110791
106056,9026,6e-06,0.019005,0.000110791
178612,9026,6e-06,0.017294,0.000110791
50693,9026,4e-06,0.016157,0.000110791
125978,9026,5e-06,0.016277,0.000110791
167044,9026,5e-06,0.016375,0.000110791
195096,9026,6e-06,0.016936,0.000110791
30422,9026,4e-06,0.014582,0.000110791
98093,9026,6e-06,0.018459,0.000110791
172342,9026,6e-06,0.014393,0.000110791
74791,9026,5e-06,0.015989,0.000110791
140659,9026,4e-06,0.016745,0.000110791
123941,9026,5e-06,0.015568,0.000110791
21365,9026,4e-06,0.015928,0.000110791
155450,9026,4e-06,0.015406,0.000110791
49153,9026,5e-06,0.014858,0.000110791
46937,9026,5e-06,0.017493,0.000110791
