Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
3376,18,0.003129,4.6e-05,187.556
32403,18,1.4e-05,5.6e-05,0.0555556
615,18,0.000451,2.8e-05,34.1667
14,18,1.7e-05,5.2e-05,0.777778
146,18,0.000128,2.8e-05,8.11111
2720,18,0.002151,2.9e-05,151.111
251,18,0.000139,2.8e-05,13.9444
1,18,4e-06,3e-05,0.166667
664,18,0.00036,2.7e-05,36.8889
5,18,6e-06,2.9e-05,0.277778
5,18,1e-05,4.3e-05,0.277778
53,18,4.9e-05,3.5e-05,2.94444
7,18,5e-06,5e-05,0.111111
816,18,0.000693,2.6e-05,45.3333
38,18,4.9e-05,4.8e-05,2.11111
21,18,2.3e-05,4.7e-05,1.16667
23,18,2.1e-05,2.8e-05,1.27778
75,18,7.5e-05,4.7e-05,4.16667
1,18,7e-06,4.6e-05,0.166667
306611,18,5e-06,5e-05,0.0555556
97,18,7.3e-05,2.8e-05,5.38889
5057,18,0.00452,3.3e-05,280.944
5,18,9e-06,4.9e-05,0.277778
2720,18,0.001767,3e-05,151.111
15,18,6e-06,4.1e-05,0.111111
66,18,6.4e-05,4.6e-05,3.66667
312507,18,5e-06,4.9e-05,0.0555556
343,18,0.000314,3.8e-05,19.0556
11,18,1.5e-05,3.6e-05,0.611111
81,18,7.9e-05,4.5e-05,4.5
4305,18,0.003108,5.2e-05,239.167
169,18,0.000164,4.6e-05,9.38889
1,18,8e-06,4.7e-05,0.222222
1727,18,0.001582,4.6e-05,95.9444
12,18,1.6e-05,4.6e-05,0.666667
2,18,5e-06,4.7e-05,0.111111
25523,18,4e-06,4.6e-05,0.0555556
895,18,0.000555,2.8e-05,49.7222
1,18,7e-06,3.8e-05,0.222222
168355,18,5e-06,4.1e-05,0.0555556
18,18,2e-05,3.6e-05,1
1,18,7e-06,3.6e-05,0.166667
108,18,8.3e-05,2.7e-05,6
590,18,0.000334,2.6e-05,32.7778
67,18,5.1e-05,2.5e-05,3.72222
153,18,9.6e-05,2.6e-05,8.5
165,18,0.000108,3.5e-05,9.16667
60,18,5.4e-05,2.7e-05,3.33333
52,18,4.9e-05,2.8e-05,2.88889
175461,18,3e-06,5e-05,0.0555556
27,18,2.8e-05,2.8e-05,1.5
37811,18,4e-06,3.8e-05,0.0555556
1792,18,0.00099,2.5e-05,99.5556
375610,18,3e-06,3.9e-05,0.0555556
146,18,9.6e-05,2.6e-05,8.11111
76,18,5.9e-05,2.6e-05,4.22222
8,18,1.1e-05,3.7e-05,0.444444
3376,18,0.001925,2.6e-05,187.556
2967,18,0.00162,6.1e-05,164.833
12,18,7e-06,5.1e-05,0.166667
35,18,4e-05,4.4e-05,1.94444
1156,18,0.001051,4.5e-05,64.2222
12,18,1.7e-05,4.4e-05,0.666667
12,18,1.7e-05,4.6e-05,0.666667
4180,18,0.002753,3.7e-05,232.222
212,18,0.000132,2.6e-05,11.7778
143032,18,3e-06,3.6e-05,0.0555556
1735,18,0.000979,2.8e-05,96.3889
5,18,7e-06,2.8e-05,0.277778
9,18,9e-06,2.8e-05,0.5
6,18,1.1e-05,3e-05,0.333333
9,18,9e-06,2.7e-05,0.5
14,18,5e-06,2.8e-05,0.166667
1,18,4e-06,2.9e-05,0.111111
243,18,0.00014,2.7e-05,13.5
1016,18,0.000551,3.5e-05,56.4444
1,18,3e-06,3e-05,0.111111
10,18,1.4e-05,2.9e-05,0.555556
11,18,1e-05,2.7e-05,0.611111
12,18,1.4e-05,2.9e-05,0.666667
6557,18,0.00358,4.5e-05,364.278
14,18,1.6e-05,4.6e-05,0.777778
29353,18,4e-06,4e-05,0.0555556
304712,18,3e-06,4.2e-05,0.0555556
3,18,1e-05,4.8e-05,0.166667
26,18,3.1e-05,4.6e-05,1.44444
12,18,1.4e-05,3.7e-05,0.666667
189048,18,4e-06,4.2e-05,0.0555556
385,18,0.000236,2.8e-05,21.3889
55,18,4.2e-05,2.8e-05,3.05556
253,18,0.000152,2.8e-05,14.0556
6,18,1e-05,4.2e-05,0.333333
86,18,8.8e-05,4.3e-05,4.77778
11,18,1.5e-05,4.9e-05,0.611111
2870,18,0.001601,3.4e-05,159.444
31,18,2.9e-05,3.5e-05,1.72222
9,18,4e-06,3.5e-05,0.111111
3,18,5e-06,3.9e-05,0.111111
26,18,2.5e-05,2.8e-05,1.44444
1,18,5e-06,3.3e-05,0.111111
174983,18,4e-06,3.5e-05,0.0555556
187993,18,4e-06,3.4e-05,0.0555556
26787,18,4e-06,3.3e-05,0.0555556
96478,18,4e-06,3.6e-05,0.0555556
1,18,4e-06,3.7e-05,0.111111
75,18,5.9e-05,3.9e-05,4.16667
732,18,0.000435,2.7e-05,40.6667
238,18,0.000141,2.8e-05,13.2222
178685,18,4e-06,3.6e-05,0.0555556
9,18,1.2e-05,3.3e-05,0.5
5,18,6e-06,3.3e-05,0.277778
14,18,1.8e-05,3.3e-05,0.777778
18,18,1.9e-05,3.2e-05,1
99998,18,6e-06,3.6e-05,0.111111
13,18,1.7e-05,3.1e-05,0.722222
179606,18,3e-06,3.8e-05,0.0555556
199,18,0.000122,2.7e-05,11.0556
99995,18,4e-06,3.5e-05,0.111111
1201,18,0.00067,2.6e-05,66.7222
122,18,9.2e-05,3.4e-05,6.77778
32,18,2.9e-05,2.8e-05,1.77778
31,18,2.5e-05,2.7e-05,1.72222
8,18,1.1e-05,3.1e-05,0.444444
132526,18,4e-06,3.4e-05,0.0555556
218,18,0.000134,2.8e-05,12.1111
170449,18,4e-06,3.2e-05,0.0555556
17,18,1.9e-05,3e-05,0.944444
408628,18,3e-06,3.3e-05,0.0555556
19,18,1.8e-05,3.1e-05,1.05556
53,18,4e-05,2.8e-05,2.94444
71,18,5e-05,2.8e-05,3.94444
725,18,0.000398,2.7e-05,40.2778
13,18,1.2e-05,4.2e-05,0.722222
17,18,1.7e-05,4.9e-05,0.944444
46,18,4.2e-05,2.7e-05,2.55556
970,18,0.000883,3.2e-05,53.8889
172236,18,5e-06,4.8e-05,0.0555556
385694,18,4e-06,3.9e-05,0.0555556
9,18,9e-06,3.8e-05,0.222222
93645,18,4e-06,3.5e-05,0.0555556
967,18,0.000546,3.7e-05,53.7222
275,18,0.000172,3.4e-05,15.2778
253905,18,5e-06,4e-05,0.0555556
1,18,7e-06,3.8e-05,0.166667
16,18,1.9e-05,3e-05,0.888889
757,18,0.000393,2.6e-05,42.0556
139,18,8.6e-05,2.6e-05,7.72222
8,18,1e-05,3.3e-05,0.444444
6,18,8e-06,3.8e-05,0.333333
