Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
11305,268,6e-06,0.000644,0.00373134
37268,268,4e-06,0.000647,0.00373134
9750,268,4e-06,0.000645,0.00373134
36731,268,4e-06,0.000637,0.00373134
36470,268,4e-06,0.000645,0.00373134
1,268,7e-06,0.00061,0.00373134
17181,268,4e-06,0.000655,0.00373134
10155,268,4e-06,0.000621,0.00373134
36091,268,6e-06,0.000617,0.00373134
20983,268,5e-06,0.000664,0.00373134
7129,268,6e-06,0.000615,0.00373134
35533,268,5e-06,0.000632,0.00373134
13071,268,4e-06,0.000662,0.00373134
11416,268,4e-06,0.000627,0.00373134
28070,268,5e-06,0.000622,0.00373134
28418,268,3e-06,0.000627,0.00373134
25548,268,4e-06,0.000623,0.00373134
36533,268,5e-06,0.000626,0.00373134
33667,268,3e-06,0.000624,0.00373134
21328,268,4e-06,0.000642,0.00373134
4830,268,4e-06,0.000628,0.00373134
22063,268,6e-06,0.000631,0.00373134
19234,268,5e-06,0.000657,0.00373134
17621,268,5e-06,0.000645,0.00373134
5226,268,3e-06,0.000601,0.00373134
7339,268,6e-06,0.000612,0.00373134
7832,268,4e-06,0.000615,0.00373134
26980,268,5e-06,0.000636,0.00373134
20032,268,4e-06,0.000624,0.00373134
9894,268,4e-06,0.000613,0.00373134
20889,268,3e-06,0.000597,0.00373134
20337,268,4e-06,0.000645,0.00373134
1,268,1e-05,0.000705,0.00373134
1,268,4e-06,0.00062,0.00373134
1,268,3e-06,0.000644,0.00373134
37228,268,4e-06,0.000642,0.00373134
36504,268,4e-06,0.000649,0.00373134
36265,268,3e-06,0.000617,0.00373134
18458,268,4e-06,0.000621,0.00373134
2890,268,3e-06,0.000596,0.00373134
37040,268,5e-06,0.000663,0.00373134
27479,268,1.3e-05,0.000648,0.00373134
19620,268,5e-06,0.000637,0.00373134
16611,268,5e-06,0.000659,0.00373134
1330,268,5e-06,0.00063,0.00373134
13584,268,5e-06,0.000657,0.00373134
-85850,268,4e-06,0.000673,0.00373134
9349,268,8e-06,0.000653,0.00373134
8710,268,4e-06,0.000654,0.00373134
32929,268,3e-06,0.000634,0.00373134
28453,268,4e-06,0.000578,0.00373134
10002,268,4e-06,0.000528,0.00373134
7890,268,5e-06,0.000603,0.00373134
-62585,268,4e-06,0.000591,0.00373134
20656,268,3e-06,0.000617,0.00373134
24425,268,3e-06,0.000592,0.00373134
23119,268,4e-06,0.000616,0.00373134
10427,268,4e-06,0.00039,0.00373134
21172,268,4e-06,0.000392,0.00373134
29983,268,2e-06,0.000395,0.00373134
13410,268,4e-06,0.000407,0.00373134
32013,268,3e-06,0.000396,0.00373134
24030,268,2e-06,0.000647,0.00373134
21421,268,4e-06,0.000644,0.00373134
8189,268,3e-06,0.000661,0.00373134
27280,268,3e-06,0.000664,0.00373134
36785,268,4e-06,0.000661,0.00373134
35063,268,2e-06,0.000664,0.00373134
36155,268,3e-06,0.000662,0.00373134
16401,268,4e-06,0.000659,0.00373134
7644,268,3e-06,0.000654,0.00373134
21108,268,3e-06,0.000665,0.00373134
2417,268,3e-06,0.000631,0.00373134
37078,268,4e-06,0.000662,0.00373134
36523,268,3e-06,0.000689,0.00373134
21369,268,3e-06,0.00067,0.00373134
3633,268,3e-06,0.000653,0.00373134
5764,268,3e-06,0.000605,0.00373134
20795,268,4e-06,0.000629,0.00373134
33023,268,3e-06,0.000647,0.00373134
36234,268,4e-06,0.000621,0.00373134
31077,268,4e-06,0.00063,0.00373134
12093,268,4e-06,0.000623,0.00373134
32586,268,4e-06,0.000646,0.00373134
7358,268,4e-06,0.000617,0.00373134
