Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1,498,0,0.811,0.002
1,498,0,0.8,0.002
1,498,0,0.981,0.002
27,498,0.018,0.941,0.054
6,498,0.004,0.876,0.012
2,498,0.001,0.894,0.004
107,498,0.069,0.859,0.215
2,498,0.001,0.867,0.004
22,498,0.011,0.894,0.044
1,498,0,0.882,0.002
57,498,0.037,0.817,0.114
31,498,0.017,0.84,0.062
2,498,0.001,0.897,0.004
27,498,0.016,0.869,0.054
579,498,0.458,0.765,1.163
15,498,0.008,0.892,0.030
11,498,0.01,0.883,0.022
225,498,0.167,0.861,0.452
1,498,0,0.863,0.002
7,498,0.003,0.86,0.014
31,498,0.021,0.857,0.062
335,498,0.284,1.313,0.673
81,498,0.063,0.915,0.163
1,498,0,0.901,0.002
1,498,0,0.856,0.002
3,498,0.001,0.87,0.006
2797,498,2.047,1.321,5.616
1,498,0,0.866,0.002
1,498,0,0.907,0.002
1,498,0,0.903,0.002
35,498,0.019,0.892,0.070
185,498,0.149,0.89,0.371
2,498,0.001,0.903,0.004
75,498,0.055,0.869,0.151
1,498,0,0.856,0.002
2,498,0.001,0.872,0.004
25,498,0.019,0.847,0.050
30,498,0.021,1.087,0.060
3,498,0.003,1.063,0.006
1,498,0,0.907,0.002
39,498,0.028,0.933,0.078
68,498,0.046,0.877,0.137
21,498,0.011,0.867,0.042
18,498,0.013,0.881,0.036
27,498,0.019,0.858,0.054
189,498,0.19,0.918,0.380
1,498,0,0.89,0.002
1,498,0,0.836,0.002
1198,498,0.915,1.367,2.406
3449,498,2.557,1.262,6.926
10,498,0.009,0.876,0.020
24,498,0.013,0.86,0.048
7,498,0.004,0.849,0.014
1,498,0,0.836,0.002
45,498,0.031,0.865,0.090
5,498,0.002,0.896,0.010
1,498,0,0.858,0.002
1,498,0,0.873,0.002
1,498,0,0.878,0.002
1,498,0,0.871,0.002
8,498,0.004,0.9,0.016
1,498,0,0.87,0.002
2268,498,1.647,1.337,4.554
2371,498,1.662,1.309,4.761
1,498,0,0.862,0.002
13,498,0.006,0.897,0.026
