Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),,Range / Alphabet ratio
2,13906,0,22,,0.00
1,13906,0,21,,0.00
1,13906,0,21,,0.00
2,13906,0,23,,0.00
3,13906,0,20,,0.00
1,13906,0,22,,0.00
1,13906,0,20,,0.00
1,13906,0,26,,0.00
908,13906,1,48,,0.07
1,13906,0,23,,0.00
88,13906,0,35,,0.01
2,13906,0,32,,0.00
11172,13906,9,31,,0.80
37267,13906,37,62,,2.68
9,13906,0,28,,0.00
1,13906,0,28,,0.00
1,13906,0,27,,0.00
471,13906,0,51,,0.03
1,13906,0,33,,0.00
12,13906,0,26,,0.00
1,13906,0,26,,0.00
2332,13906,1,45,,0.17
1,13906,0,28,,0.00
1,13906,0,24,,0.00
1,13906,0,29,,0.00
4,13906,0,49,,0.00
36,13906,0,46,,0.00
1,13906,0,35,,0.00
2,13906,0,35,,0.00
70,13906,0,23,,0.01
41,13906,0,25,,0.00
1,13906,0,26,,0.00
1,13906,0,20,,0.00
2,13906,0,22,,0.00
1,13906,0,26,,0.00
1,13906,0,25,,0.00
6,13906,0,37,,0.00
1,13906,0,24,,0.00
2307,13906,1,22,,0.17
1,13906,0,24,,0.00
1,13906,0,26,,0.00
1,13906,0,29,,0.00
1,13906,0,31,,0.00
2,13906,0,26,,0.00
1,13906,0,28,,0.00
1,13906,0,27,,0.00
1,13906,0,24,,0.00
7,13906,0,23,,0.00
1,13906,0,30,,0.00
1,13906,0,24,,0.00
1,13906,0,29,,0.00
1,13906,0,27,,0.00
1,13906,0,25,,0.00
1,13906,0,22,,0.00
33408,13906,25,31,,2.40
31844,13906,18,47,,2.29
6479,13906,5,40,,0.47
1,13906,0,28,,0.00
6103,13906,5,31,,0.44
1,13906,0,24,,0.00
1,13906,0,25,,0.00
68,13906,0,28,,0.00
1,13906,0,30,,0.00
4,13906,0,33,,0.00
1,13906,0,29,,0.00
1,13906,0,29,,0.00
1,13906,0,29,,0.00
1,13906,0,29,,0.00
1,13906,0,27,,0.00
1,13906,0,23,,0.00
1,13906,0,30,,0.00
1,13906,0,33,,0.00
1,13906,0,30,,0.00
1,13906,0,28,,0.00
6231,13906,4,54,,0.45
1,13906,0,26,,0.00
1,13906,0,30,,0.00
1,13906,0,27,,0.00
1633,13906,1,50,,0.12
1,13906,0,28,,0.00
1,13906,0,37,,0.00
1,13906,0,33,,0.00
2,13906,0,36,,0.00
1,13906,0,28,,0.00
837,13906,1,32,,0.06
1,13906,0,25,,0.00
1,13906,0,20,,0.00
1,13906,0,24,,0.00
14,13906,0,20,,0.00
