Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1,498,0,0,0.00
13,498,0,0,0.03
17,498,0,0,0.03
1099,498,1,2,2.21
1,498,0,1,0.00
485,498,0,1,0.97
1,498,0,1,0.00
36,498,0,0,0.07
181,498,0,0,0.36
11,498,0,0,0.02
1,498,0,0,0.00
1,498,0,0,0.00
60,498,0,0,0.12
1,498,0,1,0.00
1,498,0,0,0.00
756,498,0,1,1.52
1,498,0,1,0.00
54,498,0,1,0.11
1,498,0,1,0.00
1,498,0,0,0.00
1,498,0,0,0.00
4,498,0,0,0.01
1,498,0,0,0.00
1267,498,1,1,2.54
180,498,0,1,0.36
1,498,0,0,0.00
1,498,0,0,0.00
1948,498,1,1,3.91
648,498,0,1,1.30
891,498,0,1,1.79
731,498,0,1,1.47
1,498,0,0,0.00
2,498,0,0,0.00
1,498,0,0,0.00
7,498,0,0,0.01
1,498,0,1,0.00
436,498,0,1,0.88
1,498,0,0,0.00
1,498,0,1,0.00
2049,498,1,1,4.11
5,498,0,0,0.01
1,498,0,0,0.00
55,498,0,0,0.11
2,498,0,0,0.00
1,498,0,0,0.00
1,498,0,0,0.00
336,498,0,1,0.67
1,498,0,0,0.00
56,498,0,0,0.11
6,498,0,1,0.01
5,498,0,1,0.01
10,498,0,0,0.02
3,498,0,1,0.01
3,498,0,1,0.01
1,498,0,1,0.00
49,498,0,1,0.10
4,498,0,0,0.01
1,498,0,0,0.00
383,498,0,1,0.77
1,498,0,0,0.00
4,498,0,0,0.01
6,498,0,0,0.01
77,498,0,0,0.15
7,498,0,1,0.01
1,498,0,1,0.00
2,498,0,1,0.00
2,498,0,1,0.00
8,498,0,1,0.02
1616,498,1,2,3.24
28,498,0,1,0.06
1,498,0,1,0.00
18,498,0,1,0.04
6,498,0,1,0.01
1,498,0,1,0.00
1,498,0,1,0.00
1,498,0,1,0.00
4,498,0,1,0.01
1,498,0,1,0.00
7,498,0,1,0.01
2,498,0,1,0.00
9,498,0,1,0.02
1,498,0,1,0.00
2,498,0,1,0.00
349,498,0,1,0.70
1,498,0,1,0.00
15,498,0,1,0.03
1,498,0,1,0.00
33,498,0,1,0.07
1,498,0,0,0.00
18,498,0,0,0.04
28,498,0,0,0.06
1,498,0,1,0.00
1,498,0,1,0.00
65,498,0,1,0.13
1,498,0,1,0.00
1,498,0,1,0.00
1,498,0,1,0.00
1,498,0,1,0.00
1,498,0,1,0.00
234,498,0,1,0.47
1,498,0,1,0.00
2,498,0,1,0.00
1,498,0,1,0.00
208,498,0,1,0.42
2797,498,2,1,5.62
49,498,0,0,0.10
28,498,0,0,0.06
19,498,0,0,0.04
18,498,0,0,0.04
50,498,0,0,0.10
1,498,0,1,0.00
1,498,0,1,0.00
1198,498,1,1,2.41
3,498,0,1,0.01
2,498,0,1,0.00
1,498,0,1,0.00
455,498,0,1,0.91
2,498,0,1,0.00
95,498,0,1,0.19
1,498,0,1,0.00
1,498,0,1,0.00
1,498,0,1,0.00
386,498,0,2,0.78
1,498,0,1,0.00
6,498,0,1,0.01
1,498,0,1,0.00
5,498,0,1,0.01
97,498,0,1,0.19
20,498,0,1,0.04
13,498,0,1,0.03
81,498,0,1,0.16
3,498,0,1,0.01
