Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1,2991,0,7,0.00
1,2991,0,6,0.00
1634,2991,1,5,0.55
1,2991,0,6,0.00
1,2991,0,7,0.00
1,2991,0,5,0.00
1,2991,0,7,0.00
1,2991,0,6,0.00
12,2991,0,6,0.00
1,2991,0,7,0.00
1,2991,0,7,0.00
1,2991,0,5,0.00
7801,2991,7,11,2.61
1,2991,0,7,0.00
1,2991,0,7,0.00
1865,2991,1,11,0.62
1,2991,0,7,0.00
9,2991,0,6,0.00
1,2991,0,7,0.00
8376,2991,8,11,2.80
1,2991,0,7,0.00
172,2991,0,7,0.06
1,2991,0,6,0.00
1,2991,0,7,0.00
227,2991,0,12,0.08
1,2991,0,7,0.00
1,2991,0,6,0.00
39,2991,0,6,0.01
3,2991,0,4,0.00
32,2991,0,4,0.01
808,2991,0,5,0.27
1,2991,0,6,0.00
2913,2991,2,10,0.97
2,2991,0,6,0.00
1,2991,0,6,0.00
1,2991,0,6,0.00
5,2991,0,5,0.00
1,2991,0,4,0.00
1,2991,0,4,0.00
1,2991,0,5,0.00
5,2991,0,4,0.00
5,2991,0,3,0.00
1,2991,0,4,0.00
1,2991,0,4,0.00
1,2991,0,4,0.00
1,2991,0,4,0.00
20,2991,0,4,0.01
1,2991,0,4,0.00
1,2991,0,4,0.00
1,2991,0,6,0.00
1,2991,0,4,0.00
1,2991,0,6,0.00
1,2991,0,6,0.00
1,2991,0,6,0.00
2,2991,0,7,0.00
1,2991,0,6,0.00
1,2991,0,6,0.00
1,2991,0,7,0.00
1,2991,0,5,0.00
1,2991,0,4,0.00
7190,2991,5,7,2.40
1,2991,0,4,0.00
218,2991,0,4,0.07
143,2991,0,4,0.05
9,2991,0,4,0.00
1,2991,0,4,0.00
1,2991,0,5,0.00
1,2991,0,5,0.00
3,2991,0,4,0.00
1,2991,0,4,0.00
13,2991,0,4,0.00
4,2991,0,4,0.00
189,2991,0,7,0.06
1,2991,0,5,0.00
6840,2991,5,8,2.29
6840,2991,3,6,2.29
137,2991,0,5,0.05
