Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
47,21145,0,59,0.00
1,21145,0,52,0.00
1,21145,0,45,0.00
1,21145,0,41,0.00
1,21145,0,39,0.00
1,21145,0,40,0.00
1,21145,0,32,0.00
1,21145,0,41,0.00
1,21145,0,37,0.00
1,21145,0,33,0.00
1,21145,0,35,0.00
1,21145,0,33,0.00
1,21145,0,33,0.00
1,21145,0,37,0.00
1,21145,0,47,0.00
1,21145,0,45,0.00
1,21145,0,57,0.00
1,21145,0,48,0.00
1,21145,0,47,0.00
640,21145,0,44,0.03
1,21145,0,93,0.00
1,21145,0,42,0.00
148,21145,0,53,0.01
39,21145,0,38,0.00
1,21145,0,35,0.00
2,21145,0,33,0.00
1,21145,0,33,0.00
1,21145,0,37,0.00
1,21145,0,35,0.00
1,21145,0,37,0.00
1,21145,0,45,0.00
784,21145,1,65,0.04
1,21145,0,43,0.00
1,21145,0,53,0.00
1,21145,0,48,0.00
1,21145,0,47,0.00
1,21145,0,36,0.00
1,21145,0,32,0.00
1,21145,0,36,0.00
4898,21145,3,62,0.23
1,21145,0,30,0.00
1908,21145,1,30,0.09
1,21145,0,31,0.00
1,21145,0,35,0.00
7415,21145,4,45,0.35
8,21145,0,41,0.00
56,21145,0,50,0.00
1,21145,0,40,0.00
4522,21145,4,36,0.21
1,21145,0,34,0.00
1,21145,0,32,0.00
1,21145,0,42,0.00
4,21145,0,67,0.00
21,21145,0,76,0.00
150,21145,0,60,0.01
1,21145,0,37,0.00
2,21145,0,37,0.00
1,21145,0,35,0.00
1,21145,0,33,0.00
1,21145,0,37,0.00
1,21145,0,35,0.00
1,21145,0,35,0.00
1,21145,0,32,0.00
1,21145,0,33,0.00
1,21145,0,38,0.00
1,21145,0,46,0.00
3520,21145,2,28,0.17
49,21145,0,36,0.00
5,21145,0,42,0.00
1,21145,0,40,0.00
1,21145,0,37,0.00
2,21145,0,34,0.00
2,21145,0,40,0.00
1,21145,0,47,0.00
1,21145,0,50,0.00
1,21145,0,52,0.00
62,21145,0,51,0.00
1,21145,0,41,0.00
52,21145,0,48,0.00
1,21145,0,43,0.00
1,21145,0,48,0.00
1,21145,0,43,0.00
1,21145,0,38,0.00
1,21145,0,39,0.00
1,21145,0,37,0.00
1,21145,0,38,0.00
1,21145,0,32,0.00
1,21145,0,34,0.00
1,21145,0,34,0.00
1,21145,0,35,0.00
1,21145,0,33,0.00
5,21145,0,28,0.00
1,21145,0,30,0.00
1,21145,0,34,0.00
1,21145,0,34,0.00
6,21145,0,44,0.00
7,21145,0,42,0.00
16,21145,0,41,0.00
3,21145,0,47,0.00
1,21145,0,49,0.00
1,21145,0,45,0.00
14,21145,0,46,0.00
7,21145,0,42,0.00
1,21145,0,44,0.00
1,21145,0,51,0.00
2,21145,0,42,0.00
1,21145,0,43,0.00
2264,21145,1,49,0.11
25624,21145,20,67,1.21
1,21145,0,39,0.00
1,21145,0,33,0.00
1,21145,0,35,0.00
1,21145,0,36,0.00
1540,21145,1,53,0.07
1,21145,0,35,0.00
