Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1578,9026,1,31,0.17
8,9026,0,19,0.00
19,9026,0,15,0.00
5209,9026,2,21,0.58
1,9026,0,16,0.00
1,9026,0,13,0.00
1,9026,0,16,0.00
3656,9026,2,26,0.41
1,9026,0,14,0.00
10,9026,0,15,0.00
1,9026,0,20,0.00
1,9026,0,20,0.00
1,9026,0,15,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,19,0.00
1,9026,0,19,0.00
136,9026,0,14,0.02
2,9026,0,15,0.00
1,9026,0,18,0.00
2,9026,0,14,0.00
2304,9026,1,18,0.26
2,9026,0,15,0.00
1,9026,0,20,0.00
1,9026,0,14,0.00
1,9026,0,16,0.00
2,9026,0,14,0.00
1,9026,0,14,0.00
1,9026,0,15,0.00
1,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,13,0.00
1,9026,0,18,0.00
1,9026,0,18,0.00
4,9026,0,13,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,14,0.00
1,9026,0,21,0.00
1,9026,0,18,0.00
1210,9026,0,8,0.13
1,9026,0,19,0.00
1,9026,0,17,0.00
1,9026,0,20,0.00
1,9026,0,18,0.00
141,9026,0,24,0.02
23,9026,0,17,0.00
1,9026,0,17,0.00
1,9026,0,20,0.00
1,9026,0,19,0.00
1,9026,0,16,0.00
1,9026,0,15,0.00
1,9026,0,17,0.00
2,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,19,0.00
1,9026,0,18,0.00
1,9026,0,15,0.00
57,9026,0,25,0.01
1,9026,0,17,0.00
1,9026,0,18,0.00
1,9026,0,15,0.00
1,9026,0,16,0.00
1,9026,0,18,0.00
375,9026,0,15,0.04
1,9026,0,15,0.00
1,9026,0,21,0.00
1,9026,0,21,0.00
1,9026,0,17,0.00
1,9026,0,16,0.00
1,9026,0,25,0.00
1,9026,0,19,0.00
1,9026,0,21,0.00
1,9026,0,22,0.00
1,9026,0,18,0.00
1,9026,0,18,0.00
1,9026,0,20,0.00
1,9026,0,19,0.00
1,9026,0,17,0.00
1,9026,0,19,0.00
1,9026,0,16,0.00
1,9026,0,15,0.00
2,9026,0,15,0.00
1,9026,0,17,0.00
11,9026,0,16,0.00
1,9026,0,14,0.00
1,9026,0,18,0.00
1,9026,0,18,0.00
1,9026,0,19,0.00
1,9026,0,14,0.00
1,9026,0,19,0.00
1,9026,0,16,0.00
1,9026,0,14,0.00
1,9026,0,16,0.00
1,9026,0,17,0.00
1,9026,0,17,0.00
4,9026,0,17,0.00
1,9026,0,20,0.00
7,9026,0,21,0.00
2339,9026,2,30,0.26
1,9026,0,14,0.00
1,9026,0,16,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
28,9026,0,13,0.00
1,9026,0,13,0.00
2304,9026,1,12,0.26
1,9026,0,13,0.00
1970,9026,1,28,0.22
1,9026,0,13,0.00
2304,9026,1,12,0.26
1,9026,0,13,0.00
1,9026,0,16,0.00
1,9026,0,16,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
1,9026,0,16,0.00
206,9026,0,14,0.02
1,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,13,0.00
1,9026,0,19,0.00
15,9026,0,21,0.00
1,9026,0,12,0.00
1,9026,0,14,0.00
1,9026,0,13,0.00
1,9026,0,14,0.00
1,9026,0,15,0.00
1,9026,0,21,0.00
3,9026,0,20,0.00
1,9026,0,22,0.00
1,9026,0,21,0.00
1,9026,0,20,0.00
1,9026,0,19,0.00
1,9026,0,22,0.00
1,9026,0,22,0.00
1,9026,0,21,0.00
2,9026,0,22,0.00
2,9026,0,22,0.00
1,9026,0,21,0.00
4409,9026,4,40,0.49
5,9026,0,15,0.00
1,9026,0,16,0.00
1,9026,0,19,0.00
1,9026,0,15,0.00
1,9026,0,19,0.00
1,9026,0,20,0.00
1,9026,0,19,0.00
444,9026,0,27,0.05
1,9026,0,14,0.00
1,9026,0,17,0.00
139,9026,0,15,0.02
779,9026,0,6,0.09
1,9026,0,19,0.00
1,9026,0,24,0.00
94,9026,0,27,0.01
1,9026,0,14,0.00
8,9026,0,17,0.00
1,9026,0,13,0.00
1,9026,0,12,0.00
1,9026,0,13,0.00
1,9026,0,17,0.00
1,9026,0,15,0.00
1,9026,0,16,0.00
1,9026,0,13,0.00
1,9026,0,13,0.00
5209,9026,2,17,0.58
1,9026,0,20,0.00
1,9026,0,21,0.00
