Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
1,18,0,0,0.06
12044,18,7,0,669.11
2599,18,1,0,144.39
1514,18,1,0,84.11
176,18,0,0,9.78
1,18,0,0,0.06
15,18,0,0,0.83
4678,18,4,0,259.89
1,18,0,0,0.06
15236,18,12,0,846.44
10,18,0,0,0.56
38,18,0,0,2.11
1,18,0,0,0.06
745,18,0,0,41.39
4,18,0,0,0.22
6248,18,3,0,347.11
1,18,0,0,0.06
1,18,0,0,0.06
1,18,0,0,0.06
3,18,0,0,0.17
411,18,0,0,22.83
65,18,0,0,3.61
3299,18,1,0,183.28
150,18,0,0,8.33
256,18,0,0,14.22
50582,18,30,0,2810.11
1,18,0,0,0.06
1,18,0,0,0.06
1,18,0,0,0.06
268,18,0,0,14.89
2,18,0,0,0.11
2,18,0,0,0.11
53,18,0,0,2.94
2160,18,2,0,120.00
115180,18,78,0,6398.89
3,18,0,0,0.17
2200,18,1,0,122.22
878,18,0,0,48.78
919,18,0,0,51.06
1,18,0,0,0.06
1,18,0,0,0.06
23,18,0,0,1.28
1,18,0,0,0.06
8,18,0,0,0.44
2,18,0,0,0.11
8910,18,4,0,495.00
214,18,0,0,11.89
1,18,0,0,0.06
2,18,0,0,0.11
1464,18,0,0,81.33
9093,18,7,0,505.17
