Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
7,268,0,1,0.03
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
2,268,0,0,0.01
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
100,268,0,0,0.37
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
159,268,0,0,0.59
1,268,0,1,0.00
14,268,0,0,0.05
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
9,268,0,0,0.03
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
72,268,0,0,0.27
2,268,0,0,0.01
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
2,268,0,0,0.01
1,268,0,0,0.00
376,268,0,1,1.40
3,268,0,0,0.01
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
3,268,0,0,0.01
1,268,0,0,0.00
1,268,0,0,0.00
1,268,0,0,0.00
7,268,0,0,0.03
