WT size, 1000 random rank accesses (s)
wt_16distinct_2_16,0.00026729
wt_32distinct_2_16,0.000309594
wt_64distinct_2_16,0.000387595
wt_128distinct_2_16,0.000410749
wt_256distinct_2_16,0.000481754
wt_16distinct_2_20,0.000276778
wt_32distinct_2_20,0.000348072
wt_64distinct_2_20,0.00055942
wt_128distinct_2_20,0.000529477
wt_256distinct_2_20,0.000755046
wt_16distinct_2_24,0.000586483
wt_32distinct_2_24,0.000726414
wt_64distinct_2_24,0.000922002
wt_128distinct_2_24,0.00108919
wt_256distinct_2_24,0.00123758
