Start Range,End Range
482887,482887
539011,539011
539011,539011
603627,603628
169053,169053
623591,623600
149881,149881
149881,149881
693216,693216
271561,271561
271561,271561
47557,47557
47557,47557
550038,550038
550038,550038
245147,245147
126623,126760
494558,494564
740030,740030
738095,738095
437488,437744
172434,172434
129792,129792
206938,206954
206938,206954
94421,94427
482547,482547
482547,482547
567184,567184
87856,87856
612578,612579
612578,612579
539274,539274
34309,34309
34309,34309
357407,357570
655946,656104
482412,482413
482412,482413
658634,658634
8339,8339
338891,338891
558461,558461
456143,456143
51451,51451
590727,590727
283933,283933
237541,237541
656338,656338
656338,656338
276398,276413
418043,418043
20108,20108
542025,542025
331103,331103
427520,427520
728094,728094
655737,655737
303578,303578
658516,658516
658516,658516
332935,332935
640715,640722
185457,185457
140406,140407
421787,421787
421787,421787
378146,378146
711926,711926
537683,537683
327433,327433
461105,461105
37867,37867
494630,494632
603046,603046
494090,494090
110208,110208
69872,69872
577865,577865
577865,577865
271449,271449
660968,660968
660968,660968
100260,100260
418755,418755
710035,710035
710035,710035
180354,180356
516947,516947
126400,126400
625225,625225
130299,130299
130299,130299
116775,116786
116775,116786
291483,291483
270365,270365
374086,374086
636744,636744
271574,271574
