Start Range,End Range
128970,129154
63587,63607
83195,83357
100012,100012
112889,112890
136689,136691
69374,69374
129995,129996
115649,115650
9329,9469
77239,77283
77239,77283
89203,89206
89203,89206
107944,107958
58509,58509
32646,32671
123908,123908
148877,148880
137140,137140
35723,35723
149609,149610
76237,76257
115278,115581
88860,88873
99417,99417
99417,99417
138537,138603
119352,119352
62707,62707
45804,45804
135153,135174
13480,13522
129886,129903
105404,105404
3686,4275
69357,69357
84508,84513
145316,145325
107157,107157
96377,96377
141502,141683
134973,135077
128226,128239
13366,13385
36435,36462
102951,102951
138290,138290
138326,138326
103267,103267
148452,148458
63726,63822
148865,148865
103208,103238
125027,125046
87120,87147
87474,87474
39522,39540
135920,135920
114499,114557
69602,69602
126118,126164
126118,126164
126118,126164
118397,118397
91779,91803
91779,91803
90363,90363
86378,86378
84405,84405
61439,61465
84626,84652
129742,129785
49322,49322
31889,31917
91864,91960
56903,56903
56903,56903
136716,136717
114965,115032
49187,49255
62099,62110
131624,131646
129939,129939
104862,104862
129964,129965
129964,129965
129964,129965
116232,116232
72680,72680
120094,120094
135996,136029
37896,38000
147000,147006
133666,133696
130932,130933
114741,114741
145232,145232
145232,145232
82772,82772
