Start Range,End Range
45460,45460
445108,445108
286980,286980
699631,699631
370230,370230
718111,718111
136761,136761
167435,167439
167435,167439
669449,669457
650345,650345
650345,650345
365975,365975
57353,58444
268660,268660
102042,102042
288158,288158
510079,510079
367064,367064
409497,409497
518830,518830
362664,362665
357496,357538
609132,609132
345094,345184
179703,180707
585438,585438
132919,132919
87800,87800
554857,554857
607907,607907
42020,42020
28133,28134
390857,390857
549734,549734
549734,549734
305103,305103
650757,650759
166439,166439
464177,464177
682027,682027
682027,682027
372331,372331
101771,101910
439413,439425
621827,621827
341553,341554
341553,341554
588724,588740
666531,666531
681089,681106
552936,552949
552936,552949
506276,506276
506276,506276
503127,503127
561148,561148
139368,139385
139368,139385
101435,101435
344612,344612
344612,344612
121303,121304
475832,475832
726153,726153
351108,351109
485771,485771
516805,516805
90562,90562
90562,90562
547309,547309
547309,547309
724888,724888
724888,724888
345219,345221
48079,48079
311041,311051
311041,311051
607095,607095
130024,130034
730009,730009
725823,725823
395183,395183
139639,139640
335127,335127
335127,335127
335127,335127
335127,335127
236836,236836
707928,707928
653401,653401
88428,88428
25631,25631
115874,115874
401948,401948
223474,223474
90900,91162
182224,182232
445390,445390
608016,608016
