Start Range,End Range
0,0
125087,125089
38330,38330
98190,98190
162352,162359
163582,163582
163582,163582
12725,13009
12725,13009
87979,87979
82316,82316
75870,75870
150495,150523
91133,91164
58171,58171
106931,106931
141133,141133
163320,163320
163320,163320
148633,148633
150558,150558
111402,111402
13244,13244
54016,54020
134088,134104
143446,143446
16677,16677
16677,16677
86270,86270
96064,96068
98744,98744
96615,96615
96615,96615
121213,121213
25125,25125
25125,25125
14247,14247
187641,187641
184309,184309
74919,74919
97283,97347
24235,24235
170145,170146
131827,131827
149654,149655
112798,112798
172913,172913
133205,133205
68139,68139
37273,37273
194226,194226
67157,67523
97283,97347
59250,59260
135416,135416
116826,116826
65118,65118
152891,152891
152891,152891
194662,194662
111110,111110
148175,148175
12379,12383
192621,192621
157990,157990
71032,71032
24994,24994
148213,148213
183435,183435
87849,87849
166946,166950
137206,137206
9080,11383
117911,117911
117911,117911
107963,107963
19646,19646
111911,111911
68963,68963
17865,17865
17865,17865
45246,45246
149053,149053
108332,108332
8688,8694
6063,6063
12851,12851
103608,103608
82496,82496
18659,18660
18659,18660
158777,158777
148829,148830
158426,158426
54046,54046
81508,81526
81508,81526
