Start Range,End Range
46157,46197
38087,38131
380823,380823
141134,141134
422151,422155
422151,422155
422151,422155
382797,382797
355501,367544
355501,367544
360886,364463
338871,340040
44914,50992
35523,35525
232352,232466
215650,215650
295845,296109
310310,310310
197345,197346
80899,80899
315940,317318
12583,12849
200069,208977
52352,52352
254687,256858
158521,159366
200069,208977
319003,319044
157798,158520
201081,201087
115180,139218
124032,124139
274524,281667
8617,8617
8617,8617
158208,158208
16208,16350
344840,344840
203310,206685
411326,411368
139439,139441
396511,396511
93318,93318
369747,369801
134605,134975
186397,186400
284083,284084
315008,315008
81110,81146
196753,196860
196753,196860
127772,127772
311493,311498
53121,53227
204196,205984
282593,282649
146613,150126
